,date,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,country,neutral_location,shoot_out,home_team_result,year,stage,win_conditions,worldcup_id
6357,2002-06-05,USA,Portugal,13.0,5.0,3.0,2.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Group D, ,FIFAWorldCup2002
6358,2002-06-06,Cameroon,Saudi Arabia,17.0,34.0,1.0,0.0,FIFA World Cup,Japan,True,No,Win,2002,Group E, ,FIFAWorldCup2002
6359,2002-06-06,Denmark,Senegal,20.0,42.0,1.0,1.0,FIFA World Cup,Korea Republic,True,No,Draw,2002,Group A, ,FIFAWorldCup2002
6360,2002-06-06,France,Uruguay,1.0,24.0,0.0,0.0,FIFA World Cup,Korea Republic,True,No,Draw,2002,Group A, ,FIFAWorldCup2002
6362,2002-06-07,Argentina,England,3.0,12.0,0.0,1.0,FIFA World Cup,Japan,True,No,Lose,2002,Group F, ,FIFAWorldCup2002
6363,2002-06-07,Spain,Paraguay,8.0,18.0,3.0,1.0,FIFA World Cup,Korea Republic,True,No,Win,2002,,,
6364,2002-06-07,Sweden,Nigeria,19.0,27.0,2.0,1.0,FIFA World Cup,Japan,True,No,Win,2002,Group F, ,FIFAWorldCup2002
6365,2002-06-08,Brazil,China PR,2.0,50.0,4.0,0.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Group C, ,FIFAWorldCup2002
6366,2002-06-08,Italy,Croatia,6.0,21.0,1.0,2.0,FIFA World Cup,Japan,True,No,Lose,2002,,,
6368,2002-06-08,South Africa,Slovenia,37.0,25.0,1.0,0.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Group B, ,FIFAWorldCup2002
6369,2002-06-09,Costa Rica,Turkey,29.0,22.0,1.0,1.0,FIFA World Cup,Korea Republic,True,No,Draw,2002,Group C, ,FIFAWorldCup2002
6370,2002-06-09,Japan,Russia,32.0,28.0,1.0,0.0,FIFA World Cup,Japan,False,No,Win,2002,Group H, ,FIFAWorldCup2002
6372,2002-06-09,Mexico,Ecuador,7.0,36.0,2.0,1.0,FIFA World Cup,Japan,True,No,Win,2002,Group G, ,FIFAWorldCup2002
6373,2002-06-10,Korea Republic,USA,40.0,13.0,1.0,1.0,FIFA World Cup,Korea Republic,False,No,Draw,2002,Group D, ,FIFAWorldCup2002
6374,2002-06-10,Portugal,Poland,5.0,38.0,4.0,0.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Group D, ,FIFAWorldCup2002
6375,2002-06-10,Tunisia,Belgium,31.0,23.0,1.0,1.0,FIFA World Cup,Japan,True,No,Draw,2002,Group H, ,FIFAWorldCup2002
6376,2002-06-11,Cameroon,Germany,17.0,11.0,0.0,2.0,FIFA World Cup,Japan,True,No,Lose,2002,Group E, ,FIFAWorldCup2002
6377,2002-06-11,Denmark,France,20.0,1.0,2.0,0.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Group A, ,FIFAWorldCup2002
6378,2002-06-11,Saudi Arabia,Republic of Ireland,34.0,15.0,0.0,3.0,FIFA World Cup,Japan,True,No,Lose,2002,,,
6379,2002-06-11,Senegal,Uruguay,42.0,24.0,3.0,3.0,FIFA World Cup,Korea Republic,True,No,Draw,2002,,,
6380,2002-06-12,Nigeria,England,27.0,12.0,0.0,0.0,FIFA World Cup,Japan,True,No,Draw,2002,Group F, ,FIFAWorldCup2002
6381,2002-06-12,Slovenia,Paraguay,25.0,18.0,1.0,3.0,FIFA World Cup,Korea Republic,True,No,Lose,2002,Group B, ,FIFAWorldCup2002
6382,2002-06-12,South Africa,Spain,37.0,8.0,2.0,3.0,FIFA World Cup,Korea Republic,True,No,Lose,2002,Group B, ,FIFAWorldCup2002
6383,2002-06-12,Sweden,Argentina,19.0,3.0,1.0,1.0,FIFA World Cup,Japan,True,No,Draw,2002,Group F, ,FIFAWorldCup2002
6384,2002-06-13,Costa Rica,Brazil,29.0,2.0,2.0,5.0,FIFA World Cup,Korea Republic,True,No,Lose,2002,Group C, ,FIFAWorldCup2002
6385,2002-06-13,Ecuador,Croatia,36.0,21.0,1.0,0.0,FIFA World Cup,Japan,True,No,Win,2002,Group G, ,FIFAWorldCup2002
6386,2002-06-13,Mexico,Italy,7.0,6.0,1.0,1.0,FIFA World Cup,Japan,True,No,Draw,2002,Group G, ,FIFAWorldCup2002
6387,2002-06-13,Turkey,China PR,22.0,50.0,3.0,0.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Group C, ,FIFAWorldCup2002
6388,2002-06-14,Belgium,Russia,23.0,28.0,3.0,2.0,FIFA World Cup,Japan,True,No,Win,2002,Group H, ,FIFAWorldCup2002
6389,2002-06-14,Japan,Tunisia,32.0,31.0,2.0,0.0,FIFA World Cup,Japan,False,No,Win,2002,,,
6390,2002-06-14,Korea Republic,Portugal,40.0,5.0,1.0,0.0,FIFA World Cup,Korea Republic,False,No,Win,2002,,,
6391,2002-06-14,Poland,USA,38.0,13.0,3.0,1.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Group D, ,FIFAWorldCup2002
6392,2002-06-15,Denmark,England,20.0,12.0,0.0,3.0,FIFA World Cup,Japan,True,No,Lose,2002,Round of 16, ,FIFAWorldCup2002
6393,2002-06-15,Germany,Paraguay,11.0,18.0,1.0,0.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Round of 16, ,FIFAWorldCup2002
6394,2002-06-16,Spain,Republic of Ireland,8.0,15.0,1.0,1.0,FIFA World Cup,Korea Republic,True,Yes,Win,2002,,,
6395,2002-06-16,Sweden,Senegal,19.0,42.0,1.0,2.0,FIFA World Cup,Japan,True,No,Lose,2002,Round of 16,Win on Golden Goal ,FIFAWorldCup2002
6396,2002-06-17,Brazil,Belgium,2.0,23.0,2.0,0.0,FIFA World Cup,Japan,True,No,Win,2002,Round of 16, ,FIFAWorldCup2002
6397,2002-06-17,Mexico,USA,7.0,13.0,0.0,2.0,FIFA World Cup,Korea Republic,True,No,Lose,2002,,,
6398,2002-06-18,Japan,Turkey,32.0,22.0,0.0,1.0,FIFA World Cup,Japan,False,No,Lose,2002,Round of 16, ,FIFAWorldCup2002
6399,2002-06-18,Korea Republic,Italy,40.0,6.0,2.0,1.0,FIFA World Cup,Korea Republic,False,No,Win,2002,Round of 16,Win on Golden Goal ,FIFAWorldCup2002
6400,2002-06-21,England,Brazil,12.0,2.0,1.0,2.0,FIFA World Cup,Japan,True,No,Lose,2002,Quarter-finals, ,FIFAWorldCup2002
6401,2002-06-21,Germany,USA,11.0,13.0,1.0,0.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Quarter-finals, ,FIFAWorldCup2002
6403,2002-06-22,Korea Republic,Spain,40.0,8.0,0.0,0.0,FIFA World Cup,Korea Republic,False,Yes,Win,2002,,,
6404,2002-06-22,Senegal,Turkey,42.0,22.0,0.0,1.0,FIFA World Cup,Japan,True,No,Lose,2002,Quarter-finals,Win on Golden Goal ,FIFAWorldCup2002
6405,2002-06-25,Korea Republic,Germany,40.0,11.0,0.0,1.0,FIFA World Cup,Korea Republic,False,No,Lose,2002,,,
6407,2002-06-26,Brazil,Turkey,2.0,22.0,1.0,0.0,FIFA World Cup,Japan,True,No,Win,2002,Semi-finals, ,FIFAWorldCup2002
6408,2002-06-29,Korea Republic,Turkey,40.0,22.0,2.0,3.0,FIFA World Cup,Korea Republic,False,No,Lose,2002,Third place, ,FIFAWorldCup2002
6410,2002-06-30,Germany,Brazil,11.0,2.0,0.0,2.0,FIFA World Cup,Japan,True,No,Lose,2002,Final, ,FIFAWorldCup2002
